season,climate,country,coolingStrategy,thermalPreference,thermalComfort,indoorTemperature
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,23
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,4,23
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.8
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.4
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,22.8
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.8
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,2,22.8
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.8
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,3,23.4
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,3,23.5
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.2
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,23.2
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,23.3
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,23.1
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,3,23.5
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,6,23.4
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,2,23.8
Spring,Cool-summer mediterranean,USA,Air Conditioned,no change,5,23.9
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,5,23.9
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,2,23.6
Spring,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,23.3
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.1
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,4,21.9
Winter,Cool-summer mediterranean,USA,Air Conditioned,warmer,6,22.2
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,22.3
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,21.2
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,2,21.4
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,5,21.9
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,5,21.2
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,21.6
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,6,21.4
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,4,23.3
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,5,21.5
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22.1
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.3
Winter,Cool-summer mediterranean,USA,Air Conditioned,warmer,3,21.7
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,1,21.3
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,4,22.5
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,5,22.2
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,22
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.1
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.6
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,4,22.4
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,21.3
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,4,21.5
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,5,21.8
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,20.9
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,4,22
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,5,21.4
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,4,22.2
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,5,22.7
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,2,21.4
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,1,20.8
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,4,21.4
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,1,20.6
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,4,19.8
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,21
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,5,20.2
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.8
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,21.4
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,6,22
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,5,21.9
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,21.8
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,5,21.6
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,4,24.5
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,21.6
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.2
Winter,Cool-summer mediterranean,USA,Air Conditioned,cooler,3,22.2
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,6,21.7
Winter,Cool-summer mediterranean,USA,Air Conditioned,no change,4,22.3
Winter,Cool-summer mediterranean,USA,Air Conditioned,warmer,4,22.7
